id	instruction	input	output
l0082	Repeat:	losing and résumé	losing and résumé
l0083	Repeat:	"back
quick"	"back
quick"
l0084	Sort letters:	rdpy	dpry
l0085	Length:	nlf	3
l0086	Reverse:	rjfvs	svfjr
l0087	Uppercase:	vzzuold	VZZUOLD
l0088	Sort letters:	uhuxc	chuux
l0089	Repeat:	exactly über	exactly über
l0090	Sort letters:	pqn	npq
l0091	Sort letters:	bbuvg	bbguv
l0092	Sort letters:	kohpuk	hkkopu
l0093	Repeat:	jalapeño to naïve	jalapeño to naïve
l0094	Uppercase:	kparxn	KPARXN
l0095	Repeat:	"she ’n’ said ""text and batch learns señor señor a"""	"she ’n’ said ""text and batch learns señor señor a"""
l0096	Repeat:	and a character	and a character
l0097	Sort letters:	zusfcavj	acfjsuvz
l0098	Length:	vhby	4
l0099	Uppercase:	kdgjbre	KDGJBRE
l0100	Reverse:	vwqmkez	zekmqwv
l0101	Reverse:	kczvwe	ewvzck
l0102	Sort letters:	okgacmwt	acgkmotw
l0103	Reverse:	lid	dil
l0104	Reverse:	oavce	ecvao
l0105	Sort letters:	mtnexfjc	cefjmntx
l0106	Uppercase:	abt	ABT
l0107	Reverse:	adeie	eieda
l0108	Reverse:	hbecs	scebh
l0109	Count vowels:	ejgcxnvuv	2
l0110	Repeat:	exactly jalapeño it	exactly jalapeño it
l0111	Reverse:	ysxaf	faxsy
l0112	Uppercase:	aumtfmeie	AUMTFMEIE
l0113	Uppercase:	ofrttbbx	OFRTTBBX
l0114	Repeat:	a to quick	a to quick
l0115	Sort letters:	stahv	ahstv
l0116	Repeat:	gradient model parser	gradient model parser
l0117	Length:	qulavjya	8
l0118	Repeat:	parser jalapeño exactly token déjà token small gradient parser text	parser jalapeño exactly token déjà token small gradient parser text
l0119	Uppercase:	zdkeyosh	ZDKEYOSH
l0120	Repeat:	of résumé of data and back loss loss line small	of résumé of data and back loss loss line small
l0121	Sort letters:	kcxku	ckkux
l0122	Uppercase:	panltkbv	PANLTKBV
l0123	Reverse:	neqocsp	pscoqen
l0124	Count vowels:	sicbszoh	2
l0125	Count vowels:	xfnvek	1
l0126	Reverse:	gtohu	uhotg
l0127	Repeat:	token ’n’ a token quick every it über of model	token ’n’ a token quick every it über of model
l0128	Sort letters:	kab	abk
l0129	Count vowels:	dkbx	0
l0130	Sort letters:	smine	eimns
l0131	Uppercase:	bjwta	BJWTA
l0132	Repeat:	"she ’n’ said ""the a every"""	"she ’n’ said ""the a every"""
l0133	Repeat:	every it token token character back it model without quick	every it token token character back it model without quick
l0134	Count vowels:	touxduxu	4
l0135	Reverse:	qitcuvne	envuctiq
l0136	Uppercase:	pbaaf	PBAAF
l0137	Sort letters:	adh	adh
l0138	Uppercase:	yqog	YQOG
l0139	Sort letters:	nnrwogk	gknnorw
l0140	Sort letters:	vekhvyc	cehkvvy
l0141	Reverse:	woiwth	htwiow
l0142	Sort letters:	xtlubqzh	bhlqtuxz
l0143	Sort letters:	pfw	fpw
l0144	Repeat:	loss loss losing	loss loss losing
l0145	Reverse:	pqjfiz	zifjqp
l0146	Sort letters:	esu	esu
l0147	Uppercase:	olcpi	OLCPI
l0148	Reverse:	kgkn	nkgk
l0149	Reverse:	yar	ray
l0150	Length:	eafo	4
l0151	Length:	chye	4
l0152	Repeat:	déjà ’n’ text	déjà ’n’ text
l0153	Uppercase:	joxvfhxje	JOXVFHXJE
l0154	Reverse:	mjlyiwxz	zxwiyljm
l0155	Reverse:	rrdzg	gzdrr
l0156	Sort letters:	ewxowjlh	ehjlowwx
l0157	Sort letters:	wqzeuk	ekquwz
l0158	Reverse:	wiquywm	mwyuqiw
l0159	Reverse:	uxubwc	cwbuxu
l0160	Reverse:	glvivi	ivivlg
l0161	Uppercase:	prcmfrl	PRCMFRL
l0162	Reverse:	sepgvcps	spcvgpes
l0163	Reverse:	jwzap	pazwj
l0164	Reverse:	ulgnt	tnglu
l0165	Uppercase:	khwytgx	KHWYTGX
l0166	Reverse:	ptnau	uantp
l0167	Uppercase:	rpeflw	RPEFLW
l0168	Sort letters:	nxyd	dnxy
l0169	Count vowels:	dmmerhgux	2
l0170	Sort letters:	xtbwcpmh	bchmptwx
l0171	Length:	kmwdrieanwpm	12
l0172	Length:	jtqbovi	7
l0173	Uppercase:	iltbfoby	ILTBFOBY
l0174	Sort letters:	zmsoh	hmosz
l0175	Length:	xgdfagfmedol	12
l0176	Repeat:	to batch	to batch
l0177	Reverse:	kdr	rdk
l0178	Uppercase:	nnfbxf	NNFBXF
l0179	Count vowels:	giprbqac	2
l0180	Sort letters:	xxvwpd	dpvwxx
l0181	Count vowels:	cpjqxu	1
l0182	Sort letters:	tktg	gktt
l0183	Count vowels:	frswri	1
l0184	Repeat:	loss ’n’ losing loss	loss ’n’ losing loss
l0185	Reverse:	rdp	pdr
l0186	Count vowels:	agqqenwb	2
l0187	Repeat:	batch without loss	batch without loss
l0188	Count vowels:	nlxatql	1
l0189	Count vowels:	tpvcoigvoz	3
l0190	Sort letters:	twprhllq	hllpqrtw
l0191	Count vowels:	ckrjxfhkvo	1
l0192	Repeat:	"small	the model"	"small	the model"
l0193	Count vowels:	fmcuxm	1
l0194	Sort letters:	rbgvjv	bgjrvv
l0195	Count vowels:	tiiglbdqr	2
l0196	Repeat:	"she ’n’ said ""café to it losing every single déjà loss señor"""	"she ’n’ said ""café to it losing every single déjà loss señor"""
l0197	Repeat:	loss to single copy copy jalapeño model a token	loss to single copy copy jalapeño model a token
l0198	Sort letters:	enqzftrd	defnqrtz
l0199	Sort letters:	gngl	ggln
l0200	Uppercase:	aotonhfz	AOTONHFZ
l0201	Repeat:	copy café	copy café
l0202	Uppercase:	xsouuqcxy	XSOUUQCXY
l0203	Sort letters:	vgnqrts	gnqrstv
l0204	Repeat:	reads back the to without loss token señor	reads back the to without loss token señor
l0205	Repeat:	über it	über it
l0206	Uppercase:	noku	NOKU
l0207	Repeat:	line quick	line quick
l0208	Reverse:	wxdbzuqe	equzbdxw
l0209	Reverse:	oxxcw	wcxxo
l0210	Count vowels:	yybxbqf	0
l0211	Uppercase:	ocmyphm	OCMYPHM
l0212	Reverse:	mvn	nvm
l0213	Reverse:	xvewrfj	jfrwevx
l0214	Repeat:	"a	loss text"	"a	loss text"
l0215	Sort letters:	ghf	fgh
l0216	Reverse:	ieorivyt	tyviroei
l0217	Count vowels:	fdlpysbm	0
l0218	Reverse:	wiyrdm	mdryiw
l0219	Uppercase:	hvw	HVW
l0220	Reverse:	ofwle	elwfo
l0221	Repeat:	gradient a copy exactly parser character it without	gradient a copy exactly parser character it without
l0222	Sort letters:	yhxch	chhxy
l0223	Repeat:	line naïve losing every über without and the	line naïve losing every über without and the
l0224	Reverse:	apk	kpa
l0225	Reverse:	bwtzgte	etgztwb
l0226	Reverse:	ksmrgky	ykgrmsk
l0227	Uppercase:	gnukaol	GNUKAOL
l0228	Uppercase:	mcam	MCAM
l0229	Sort letters:	pxkwiocr	cikoprwx
l0230	Reverse:	eozenntb	btnnezoe
l0231	Count vowels:	irlx	1
l0232	Sort letters:	bbi	bbi
l0233	Uppercase:	rbsxzby	RBSXZBY
l0234	Reverse:	xnljowm	mwojlnx
l0235	Uppercase:	tjqekinuh	TJQEKINUH
l0236	Count vowels:	bzmwwcq	0
l0237	Uppercase:	eciswy	ECISWY
l0238	Count vowels:	recjmo	2
l0239	Sort letters:	lpunvw	lnpuvw
l0240	Count vowels:	kzdetylxx	1
l0241	Uppercase:	xvh	XVH
l0242	Repeat:	résumé ’n’ line and café quick text résumé text parser	résumé ’n’ line and café quick text résumé text parser
l0243	Sort letters:	mqdcowi	cdimoqw
l0244	Repeat:	line copy	line copy
l0245	Reverse:	myneeavu	uvaeenym
l0246	Length:	amsgag	6
l0247	Uppercase:	asrksdk	ASRKSDK
l0248	Reverse:	sjzb	bzjs
l0249	Uppercase:	rvxohkon	RVXOHKON
l0250	Reverse:	agnfexhy	yhxefnga
l0251	Count vowels:	rqdntfpv	0
l0252	Repeat:	token ’n’ token model text every character café reads	token ’n’ token model text every character café reads
l0253	Reverse:	wrexv	vxerw
l0254	Count vowels:	hkti	1
l0255	Sort letters:	hvffzys	ffhsvyz
l0256	Reverse:	krdkr	rkdrk
l0257	Uppercase:	ieucjkn	IEUCJKN
l0258	Sort letters:	xgyrb	bgrxy
l0259	Repeat:	back it exactly	back it exactly
l0260	Uppercase:	gmrffznqg	GMRFFZNQG
l0261	Repeat:	"she ’n’ said ""without every"""	"she ’n’ said ""without every"""
l0262	Sort letters:	kewsx	ekswx
l0263	Sort letters:	zxrd	drxz
l0264	Repeat:	"she said ""jalapeño exactly back line single text reads losing"""	"she said ""jalapeño exactly back line single text reads losing"""
l0265	Uppercase:	pixksa	PIXKSA
l0266	Reverse:	zsc	csz
l0267	Length:	hwthfju	7
l0268	Uppercase:	hpcs	HPCS
l0269	Reverse:	gqlrhkj	jkhrlqg
l0270	Sort letters:	gqexa	aegqx
l0271	Length:	ushqng	6
l0272	Reverse:	fqzorhyv	vyhrozqf
l0273	Repeat:	über a	über a
l0274	Reverse:	qnyi	iynq
l0275	Sort letters:	bwh	bhw
l0276	Count vowels:	qknbn	0
l0277	Uppercase:	ttcbx	TTCBX
l0278	Uppercase:	prek	PREK
l0279	Repeat:	"café
déjà"	"café
déjà"
l0280	Reverse:	alx	xla
l0281	Sort letters:	fss	fss
l0282	Reverse:	uwlwmg	gmwlwu
l0283	Count vowels:	vrxsx	0
l0284	Sort letters:	zwzrneq	enqrwzz
l0285	Sort letters:	mxwpt	mptwx
l0286	Reverse:	ygv	vgy
l0287	Reverse:	fnmjvr	rvjmnf
l0288	Reverse:	dkpvck	kcvpkd
l0289	Reverse:	sxhu	uhxs
l0290	Uppercase:	bsotwpjn	BSOTWPJN
l0291	Repeat:	"exactly
café"	"exactly
café"
l0292	Sort letters:	ftu	ftu
l0293	Uppercase:	skox	SKOX
l0294	Count vowels:	kqsitibk	2
l0295	Repeat:	reads a	reads a
l0296	Sort letters:	bbjrtpu	bbjprtu
l0297	Sort letters:	smatsx	amsstx
l0298	Uppercase:	lfuaup	LFUAUP
l0299	Length:	hjk	3
l0300	Sort letters:	ambrm	abmmr
l0301	Sort letters:	anqehdg	adeghnq
l0302	Sort letters:	jqgujuc	cgjjquu
l0303	Reverse:	yigmra	armgiy
l0304	Repeat:	it line batch loss a of data señor model naïve	it line batch loss a of data señor model naïve
l0305	Uppercase:	iquztybh	IQUZTYBH
l0306	Reverse:	geor	roeg
l0307	Sort letters:	eun	enu
l0308	Sort letters:	cdgz	cdgz
l0309	Uppercase:	qrf	QRF
l0310	Uppercase:	wecgxwe	WECGXWE
l0311	Reverse:	fobq	qbof
l0312	Sort letters:	xkoxzpso	koopsxxz
l0313	Uppercase:	pjs	PJS
l0314	Sort letters:	uxcdmcqo	ccdmoqux
l0315	Sort letters:	fctdt	cdftt
l0316	Repeat:	the character	the character
l0317	Reverse:	vjxud	duxjv
l0318	Reverse:	smuqevpv	vpvequms
l0319	Sort letters:	nbd	bdn
l0320	Length:	rtncuildmq	10
l0321	Repeat:	character character without the the the token parser exactly	character character without the the the token parser exactly
l0322	Sort letters:	yrsrdt	drrsty
l0323	Sort letters:	tcletl	celltt
l0324	Repeat:	model quick	model quick
l0325	Sort letters:	yxin	inxy
l0326	Sort letters:	quicxv	ciquvx
l0327	Uppercase:	lpbha	LPBHA
l0328	Reverse:	dgrcayhi	ihyacrgd
l0329	Sort letters:	ctv	ctv
l0330	Length:	roxnztaoisst	12
l0331	Uppercase:	wsq	WSQ
l0332	Reverse:	lhjthj	jhtjhl
l0333	Repeat:	"she ’n’ said ""résumé losing"""	"she ’n’ said ""résumé losing"""
l0334	Reverse:	muiawy	ywaium
l0335	Repeat:	data a a	data a a
l0336	Repeat:	gradient a of	gradient a of
l0337	Repeat:	character señor	character señor
l0338	Sort letters:	klxf	fklx
l0339	Length:	jlzrhhkxx	9
l0340	Repeat:	"she said ""quick it"""	"she said ""quick it"""
l0341	Count vowels:	vdcytchllu	1
l0342	Sort letters:	hsuxrgg	gghrsux
l0343	Sort letters:	qhrcxm	chmqrx
l0344	Sort letters:	ltepzt	elpttz
l0345	Uppercase:	rbtzfi	RBTZFI
l0346	Reverse:	yod	doy
l0347	Count vowels:	yvsk	0
l0348	Sort letters:	yqwgqq	gqqqwy
l0349	Uppercase:	fytgcrg	FYTGCRG
l0350	Count vowels:	dpknel	1
l0351	Reverse:	jxgfjqj	jqjfgxj
l0352	Reverse:	uvmggy	yggmvu
l0353	Sort letters:	aalvqq	aalqqv
l0354	Reverse:	zryqk	kqyrz
l0355	Reverse:	scco	occs
l0356	Sort letters:	xoqhdyj	dhjoqxy
l0357	Reverse:	rjubhyg	gyhbujr
l0358	Sort letters:	mna	amn
l0359	Uppercase:	myymrjq	MYYMRJQ
l0360	Uppercase:	axo	AXO
l0361	Sort letters:	osytocg	cgoosty
l0362	Count vowels:	pyyzlpjguv	1
l0363	Reverse:	xhbhv	vhbhx
l0364	Count vowels:	ajsvw	1
l0365	Sort letters:	ynol	lnoy
l0366	Repeat:	small quick and data a without and naïve every	small quick and data a without and naïve every
l0367	Sort letters:	vyp	pvy
l0368	Repeat:	quick jalapeño without	quick jalapeño without
l0369	Repeat:	the it token	the it token
l0370	Sort letters:	cyq	cqy
l0371	Sort letters:	eqz	eqz
l0372	Reverse:	mtvjggec	ceggjvtm
l0373	Reverse:	etmjcctx	xtccjmte
l0374	Sort letters:	yyti	ityy
l0375	Reverse:	rlchb	bhclr
l0376	Sort letters:	cvnf	cfnv
l0377	Uppercase:	xxxvcgq	XXXVCGQ
l0378	Sort letters:	bhwgr	bghrw
l0379	Reverse:	wdipp	ppidw
l0380	Reverse:	vrs	srv
l0381	Count vowels:	vdptsib	1
l0382	Uppercase:	gjbvlks	GJBVLKS
l0383	Reverse:	kfggjkma	amkjggfk
l0384	Length:	cvwhi	5
l0385	Reverse:	jkpwp	pwpkj
l0386	Sort letters:	qqwrkmu	kmqqruw
l0387	Repeat:	naïve character single	naïve character single
l0388	Reverse:	lpkurox	xorukpl
l0389	Length:	apno	4
l0390	Repeat:	character loss without	character loss without
l0391	Sort letters:	nhb	bhn
l0392	Count vowels:	pmriuzeap	4
l0393	Uppercase:	rba	RBA
l0394	Reverse:	xeouj	juoex
l0395	Reverse:	aeqy	yqea
l0396	Sort letters:	tavkcex	acektvx
l0397	Reverse:	owirgi	igriwo
l0398	Reverse:	nvltypio	oipytlvn
l0399	Sort letters:	btz	btz
l0400	Length:	qg	2
l0401	Reverse:	ydvts	stvdy
l0402	Reverse:	rbel	lebr
l0403	Sort letters:	xeskrvwb	bekrsvwx
l0404	Uppercase:	ukfvoggzp	UKFVOGGZP
l0405	Reverse:	jmgnkwyl	lywkngmj
l0406	Sort letters:	dkkwgh	dghkkw
l0407	Reverse:	dgxreyjm	mjyerxgd
l0408	Uppercase:	lmgmhj	LMGMHJ
l0409	Reverse:	yfn	nfy
l0410	Uppercase:	dai	DAI
l0411	Reverse:	lxdjv	vjdxl
l0412	Uppercase:	gttxvx	GTTXVX
l0413	Uppercase:	xtjgj	XTJGJ
l0414	Repeat:	"she said ""exactly and"""	"she said ""exactly and"""
l0415	Repeat:	model exactly	model exactly
l0416	Count vowels:	fkdxfabj	1
l0417	Sort letters:	xxt	txx
l9999	Repeat:	"unterminated quote here	oops
l0418	Sort letters:	udfzmvj	dfjmuvz
l0419	Reverse:	cdzyjo	ojyzdc
l0420	Reverse:	lfp	pfl
l0421	Sort letters:	oiupchd	cdhiopu
l0422	Sort letters:	enspo	enops
l0423	Length:	dcanazrp	8
l0424	Reverse:	webr	rbew
l0425	Sort letters:	tarzrtx	arrttxz
l0426	Sort letters:	edzfmboo	bdefmooz
l0427	Uppercase:	swjppkxh	SWJPPKXH
l0428	Count vowels:	oagrngdkc	2
l0429	Length:	xbp	3
l0430	Repeat:	résumé ’n’ back	résumé ’n’ back
l0431	Reverse:	vqpx	xpqv
l0432	Reverse:	glmppoir	rioppmlg
l0433	Uppercase:	bgtb	BGTB
l0434	Length:	g	1
l0435	Sort letters:	fkqph	fhkpq
l0436	Length:	vgpdmqn	7
l0437	Reverse:	kgma	amgk
l0438	Uppercase:	wgbddgupo	WGBDDGUPO
l0439	Sort letters:	qtybsi	biqsty
l0440	Uppercase:	hhku	HHKU
l0441	Sort letters:	fff	fff
l0442	Repeat:	a ’n’ copy	a ’n’ copy
l0443	Repeat:	single model naïve without without gradient parser every to jalapeño	single model naïve without without gradient parser every to jalapeño
l0444	Repeat:	"the
jalapeño ’n’ model"	"the
jalapeño ’n’ model"
l0445	Sort letters:	yfidiyp	dfiipyy
l0446	Sort letters:	vzpghfk	fghkpvz
l0447	Count vowels:	ldwadjtvi	2
l0448	Uppercase:	xokqmpu	XOKQMPU
l0449	Sort letters:	vfw	fvw
l0450	Reverse:	ykts	stky
l0451	Repeat:	data every a character loss señor señor	data every a character loss señor señor
l0452	Repeat:	data ’n’ line	data ’n’ line
l0453	Repeat:	gradient ’n’ a	gradient ’n’ a
l0454	Length:	uwvsthreiuy	11
l0455	Uppercase:	gebbjpzx	GEBBJPZX
l0456	Reverse:	kzwa	awzk
l0457	Count vowels:	ykjmb	0
l0458	Uppercase:	pchmgwj	PCHMGWJ
l0459	Repeat:	copy back café	copy back café
l0460	Sort letters:	loqk	kloq
l0461	Reverse:	cvx	xvc
l0462	Reverse:	zqr	rqz
l0463	Uppercase:	hnrdew	HNRDEW
l0464	Sort letters:	vhhmftoa	afhhmotv
l0465	Length:	est	3
l0466	Uppercase:	mbyzj	MBYZJ
l0467	Count vowels:	fccsutte	2
l0468	Uppercase:	ufadkyuxk	UFADKYUXK
l0469	Sort letters:	ldol	dllo
l0470	Sort letters:	acszwifi	acfiiswz
l0471	Reverse:	hxi	ixh
l0472	Repeat:	a every	a every
l0473	Sort letters:	bfl	bfl
l0474	Length:	gxcjxbu	7
l0475	Uppercase:	oprhbqlrf	OPRHBQLRF
l0476	Count vowels:	mrwtdbxzto	1
l0477	Length:	qhwsupnk	8
l0478	Reverse:	whpkkewl	lwekkphw
l0479	Uppercase:	hlndpqua	HLNDPQUA
l0480	Count vowels:	kliv	1
l0481	Sort letters:	hyejoz	ehjoyz
l0482	Sort letters:	vxaanl	aalnvx
l0483	Uppercase:	zesyvqz	ZESYVQZ
l0484	Sort letters:	emkvji	eijkmv
l0485	Sort letters:	exaf	aefx
l0486	Count vowels:	lixrqvrrbk	1
l0487	Reverse:	yzcmgemy	ymegmczy
l0488	Count vowels:	uzcaag	3
l0489	Sort letters:	ggjpn	ggjnp
l0490	Sort letters:	mekqjv	ejkmqv
l0491	Sort letters:	altaav	aaaltv
l0492	Repeat:	"copy
small learns"	"copy
small learns"
l0493	Length:	ewrlpepjrou	11
l0494	Repeat:	"she ’n’ said ""single a a"""	"she ’n’ said ""single a a"""
l0495	Uppercase:	wpdjqfq	WPDJQFQ
l0496	Reverse:	cegvg	gvgec
l0497	Reverse:	dubmws	swmbud
l0498	Reverse:	srs	srs
l0499	Uppercase:	nwvhekq	NWVHEKQ
l0500	Repeat:	"gradient	quick ’n’ a"	"gradient	quick ’n’ a"
l0501	Sort letters:	cak	ack
l0502	Reverse:	iwqpdaw	wadpqwi
l0503	Reverse:	gxpwf	fwpxg
l0504	Sort letters:	fzmwkfug	ffgkmuwz
l0505	Repeat:	copy batch a	copy batch a
l0506	Uppercase:	rclle	RCLLE
l0507	Sort letters:	zwfkg	fgkwz
l0508	Sort letters:	apfmpn	afmnpp
l0509	Repeat:	single copy losing	single copy losing
l0510	Uppercase:	tcbcmhg	TCBCMHG
l0511	Sort letters:	pyxhtedr	dehprtxy
l0512	Count vowels:	bssqirouil	4
l0513	Length:	lzkl	4
l0514	Repeat:	without losing	without losing
l0515	Reverse:	rpv	vpr
l0516	Reverse:	kade	edak
l0517	Repeat:	to reads losing	to reads losing
l0518	Sort letters:	zepd	depz
l0519	Length:	gm	2
l0520	Sort letters:	ssv	ssv
l0521	Repeat:	and ’n’ loss	and ’n’ loss
l0522	Uppercase:	lygiau	LYGIAU
l0523	Reverse:	qnucqe	eqcunq
l0524	Count vowels:	klrw	0
l0525	Sort letters:	zudbsmg	bdgmsuz
l0526	Sort letters:	oats	aost
l0527	Reverse:	iuaam	maaui
l0528	Sort letters:	xbq	bqx
l0529	Sort letters:	tedwipl	deilptw
l0530	Length:	sgwperqpds	10
l0531	Uppercase:	hqliwymcx	HQLIWYMCX
l0532	Length:	ini	3
l0533	Reverse:	bzfrs	srfzb
l0534	Length:	pvgppdbvhx	10
l0535	Sort letters:	vrdaulfk	adfklruv
l0536	Length:	nkvzazovmdv	11
l0537	Sort letters:	aabs	aabs
l0538	Length:	ugsvcff	7
l0539	Repeat:	résumé back back	résumé back back
l0540	Reverse:	zjucywrz	zrwycujz
l0541	Count vowels:	swnmczc	0
l0542	Uppercase:	ifjm	IFJM
l0543	Reverse:	adkavd	dvakda
l0544	Count vowels:	cbasoqcx	2
l0545	Uppercase:	kukmihhgi	KUKMIHHGI
l0546	Sort letters:	dlruagh	adghlru
l0547	Reverse:	zkgmbajh	hjabmgkz
l0548	Uppercase:	fgemf	FGEMF
l0549	Sort letters:	iojdno	dijnoo
l0550	Length:	beqibgb	7
l0551	Sort letters:	ibw	biw
l0552	Sort letters:	fqjjrsk	fjjkqrs
l0553	Uppercase:	qjieezykm	QJIEEZYKM
l0554	Length:	ghqmn	5
l0555	Uppercase:	nghuztda	NGHUZTDA
l0556	Reverse:	dgji	ijgd
l0557	Sort letters:	bpikxy	bikpxy
l0558	Sort letters:	ynzt	ntyz
l0559	Reverse:	joec	ceoj
l0560	Repeat:	quick quick to a a über jalapeño copy	quick quick to a a über jalapeño copy
l0561	Reverse:	qgfseoi	ioesfgq
l0562	Reverse:	enlb	blne
l0563	Length:	ca	2
l0564	Count vowels:	ulaglginjc	3
l0565	Reverse:	oggvrlo	olrvggo
l0566	Repeat:	quick ’n’ café	quick ’n’ café
l0567	Repeat:	"she said ""a learns to"""	"she said ""a learns to"""
l0568	Sort letters:	vmfbt	bfmtv
l0569	Length:	bcjhmcn	7
l0570	Sort letters:	mwiungl	gilmnuw
l0571	Length:	zv	2
l0572	Reverse:	novzfk	kfzvon
l0573	Sort letters:	unjv	jnuv
l0574	Reverse:	dvvspkvx	xvkpsvvd
l0575	Repeat:	"she said ""losing back"""	"she said ""losing back"""
l0576	Repeat:	every to data losing of señor character loss	every to data losing of señor character loss
l0577	Reverse:	wrp	prw
l0578	Repeat:	gradient to data	gradient to data
l0579	Sort letters:	rarmgzq	agmqrrz
l0580	Sort letters:	kmlood	dklmoo
l0581	Reverse:	clrzfoc	cofzrlc
l0582	Sort letters:	hpnpli	hilnpp
l0583	Length:	ekwjtszlvxv	11
l0584	Uppercase:	eipolud	EIPOLUD
l0585	Reverse:	cgsmg	gmsgc
l0586	Uppercase:	mzh	MZH
l0587	Repeat:	the small small	the small small
l0588	Sort letters:	igdw	dgiw
l0589	Reverse:	ripassw	wssapir
l0590	Reverse:	tvaxfp	pfxavt
l0591	Uppercase:	nlli	NLLI
l0592	Sort letters:	dknlmk	dkklmn
l0593	Repeat:	back ’n’ the déjà	back ’n’ the déjà
l0594	Reverse:	rnyv	vynr
l0595	Reverse:	cnrxifwg	gwfixrnc
l0596	Count vowels:	gakf	1
l0597	Length:	dkvjdkp	7
l0598	Reverse:	uhb	bhu
l0599	Repeat:	über text	über text
l0600	Repeat:	batch a	batch a
l0601	Reverse:	wdt	tdw
l0602	Uppercase:	sahsduec	SAHSDUEC
l0603	Length:	amcnvxjk	8
l0604	Reverse:	bajugag	gagujab
l0605	Uppercase:	yfhxbv	YFHXBV
l0606	Reverse:	klc	clk
l0607	Length:	yhkfk	5
l0608	Repeat:	token copy reads	token copy reads
l0609	Uppercase:	arrpkh	ARRPKH
l0610	Sort letters:	rqe	eqr
l0611	Length:	wdgsjzssyb	10
l0612	Repeat:	token exactly jalapeño copy it exactly résumé quick	token exactly jalapeño copy it exactly résumé quick
