# sft export v3 -- generated 2024-11-02
id	instruction	input	output	source
m00043	Uppercase:	judioyabr	JUDIOYABR	scrape
m00044	Sort letters:	acsgsew	acegssw	synthetic
m00045	Reverse:	gsfx	xfsg	vendor_a
m00046	Sort letters:	ulzt	ltuz	synthetic
m00047	Sort letters:	mox	mox	vendor_a
m00048	Repeat:	small parser learns	small parser learns	vendor_a
m00049	REVERSE:	syudckkj	jkkcduys	scrape
m00050	sORT LETTERS:	lorqswdi	diloqrsw	scrape
m00051	Uppercase:	vhearrfqv	VHEARRFQV	synthetic
m00052	Uppercase:	bmqvduhmh	BMQVDUHMH	vendor_a
m00053	Reverse:	hrswdx	xdwsrh	vendor_b
m00054	rEPEAT:	line character	line character	scrape
m00055	repeat:	café text	café text	scrape
m00056	Uppercase:	hkvxjg	HKVXJG	vendor_a
m00057	cOUNT VOWELS:	sloieczj	3	scrape
m00058	uPPERCASE:	tihv	TIHV	scrape
m00059	Reverse:	vhpiaoz	zoaiphv	synthetic
m00060	Repeat:	über token	über token	synthetic	EXTRA
m00061	lENGTH:	bor	3	scrape
m00062	Sort letters:	tyb	bty	scrape
m00063	SORT LETTERS:	zwo	owz	scrape
m00064	Count vowels:	dywbmkanv	1	vendor_b

m00065	Reverse:	ekjv	vjke	vendor_b
m00066	Reverse:	kupx	xpuk	synthetic
m00067	Count vowels:	wikmclhe	2	synthetic
m00068	Reverse:	mbpy
m00069	sort letters:	ysxjd	djsxy	scrape
m00070	Sort letters:	cylsl	cllsy	vendor_a
m00071	Length:	mb	2	vendor_b
m00072	Sort letters:	czcvp	ccpvz	synthetic
m00073	Reverse:	drmojyqe	eqyjomrd	vendor_b
m00074	rEVERSE:	qvdx	xdvq	scrape
m00075	Sort letters:	laqvtvek	aeklqtvv	vendor_a
m00076	Reverse:	owvttdve	evdttvwo	vendor_b
m00077	Reverse:	tirr	rrit	vendor_a
m00078	Repeat:	line learns a	line learns a	synthetic
m00079	length:	l	1	scrape
m00080	Reverse:	iraad	daari	vendor_b
m00081	Count vowels:	mmluiwdvc	2	synthetic
m00082	sORT LETTERS:	campeu	acempu	scrape
m00083	sORT LETTERS:	gbmqfml	bfglmmq	scrape
m00084	Count vowels:	hkkolzzt	1	scrape
m00085	Repeat:	single naïve single	single naïve single	vendor_a
m00086	rEVERSE:	zlvk	kvlz	scrape
m00087	Sort letters:	fhfmyz	ffhmyz	vendor_b
m00088	Length:	qjxkkj	6	synthetic
m00089	Count vowels:	epocuon	4	vendor_b
m00090	Sort  letters:	vbbuecx	bbceuvx	scrape
m00091	sort letters:	ureptdbz	bdeprtuz	scrape
m00092	Sort letters:	nxzfz	fnxzz	vendor_b
m00093	Sort letters:	lfvdt	dfltv	synthetic
m00094	Sort  letters:	topp	oppt	scrape
m00095	Reverse:	ombafyw	wyfabmo	vendor_a
m00096	Sort letters:	kug	gku	vendor_b

m00097	Reverse:	jxzaxxtx	xtxxazxj	vendor_b
m00098	Reverse:	wquodtk	ktdouqw	vendor_b
m00099	Reverse:	bswkczy	yzckwsb	vendor_b
m00100	Uppercase:	yfhjpf	YFHJPF	synthetic
m00101	Uppercase:	uao	UAO	vendor_a
m00102	Length:	yuvqdolmbez	11	vendor_b
m00103	Reverse:	duc		synthetic
m00104	Sort letters:	fqjcjub	bcfjjqu	vendor_a
m00105	uPPERCASE:	jcnjmgh	JCNJMGH	scrape
m00106	Uppercase:	voh	VOH	vendor_a
m00107	uPPERCASE:	ims	IMS	scrape
m00108	Reverse:	fmo	omf	synthetic
m00109	Sort letters:	klvcndyr	cdklnrvy	vendor_b
m00110	sort letters:	ymyuu	muuyy	scrape
m00111	Uppercase:	tvu	TVU	synthetic
m00112	Uppercase:	uuxvb	UUXVB	vendor_b
m00113	Sort letters:	nvc	cnv	vendor_a
m00114	Sort letters:	iavwlqg	agilqvw	vendor_b
m00115	Reverse:	hsld	dlsh	vendor_b
m00116	Sort letters:	hhb	bhh	scrape
m00117	sORT LETTERS:	nfbt	bfnt	scrape
m00118	Repeat:	"learns
every learns to the résumé back copy"	"learns
every learns to the résumé back copy"	vendor_a
m00119	REPEAT:	reads model	reads model	scrape
m00120	length:	thwjb	5	scrape
m00121	Reverse:	vrp
m00122	Length:	nuudzghkt	9	vendor_b
m00123	Sort  letters:	lxarbvla	aabllrvx	scrape
m00124	sORT LETTERS:	asxmllk	akllmsx	scrape
m00125	Sort letters:	tbng	bgnt	synthetic
m00126	Uppercase:	ktfbu	KTFBU	vendor_b
m00127	rEPEAT:	naïve café without	naïve café without	scrape
m00128	Uppercase:	cgr	CGR	vendor_a
m00129	sORT LETTERS:	pjf	fjp	scrape
m00130	Sort letters:	kxkvael	aekklvx	synthetic
m00131	Sort letters:	rjpegx	egjprx	synthetic
m00132	Reverse:	dhzfjymy	ymyjfzhd	vendor_b
m00133	reverse:	kau	uak	scrape
m00134	Sort letters:	ycqxf	cfqxy	vendor_b
m00135	Reverse:	lgqzdek	kedzqgl	synthetic
m00136	Uppercase:	qfcd	QFCD	vendor_b
m00137	Sort letters:	cdrt	cdrt	vendor_a
m00138	uppercase:	lywnxc	LYWNXC	scrape
m00139	Sort letters:	jdx	djx	synthetic
m00140	Reverse:	evuq	quve	vendor_b
m00141	repeat:	señor single single	señor single single	scrape
m00142	Reverse:	sljl	ljls	vendor_b
m00143	Repeat:	back data	back data	vendor_b
m00144	Length:	xilohifoffy	11	synthetic
m00145	Sort letters:	ugew	eguw	vendor_b
m00146	rEPEAT:	jalapeño café character déjà without batch señor	jalapeño café character déjà without batch señor	scrape
m00147	Sort letters:	qcez	ceqz	vendor_b
m00148	Reverse:	nxkd	dkxn	vendor_a
m00149	Uppercase:	jlq	JLQ	vendor_b
m00150	rEVERSE:	uar	rau	scrape
m00151	Sort letters:	bjolo	bjloo	vendor_a
m00152	  uppercase: 	oxrqvuz	OXRQVUZ	scrape
m00153	Count vowels:	vksn	0	vendor_b

m00154	REVERSE:	omfns	snfmo	scrape
m00155	Length:	dobwgeubf	9	vendor_b	EXTRA
m00156	uPPERCASE:	auk	AUK	scrape
m00157	Sort letters:	mttzpgpr	gmpprttz	vendor_a
m00158	Sort letters:	akxg	agkx	vendor_a
m00159	REPEAT:	café and losing	café and losing	scrape
m00160	Length:	fbnzbc	6	vendor_b
m00161	Sort letters:	loxd	dlox	vendor_b
m00162	Repeat:	reads loss	reads loss	vendor_b
m00163	Uppercase:	flcmrbut	FLCMRBUT	synthetic
m00164	Uppercase:	uebsryhbt	UEBSRYHBT	vendor_a
m00165	  Reverse: 	jrxirpvz	zvprixrj	vendor_b
m00166	Sort letters:	xcxyezcy	ccexxyyz	synthetic
m00167	Sort letters:	tjflq	fjlqt	vendor_a
m00168	Length:	nemimardn	9	vendor_a
m00169	sORT LETTERS:	ewbrydg	bdegrwy	scrape
m00170	Length:	rgvgioen	8	vendor_a
m00171	Repeat:	token gradient character	token gradient character	vendor_b
m00172	Uppercase:	pxfpysdw	PXFPYSDW	vendor_a
m00173	Reverse:	qffgkdhx	xhdkgffq	synthetic
m00174	Length:	iuiom	5	vendor_b
m00175	Repeat:	quick déjà déjà	quick déjà déjà	vendor_a
m00176	uPPERCASE:	btafihx	BTAFIHX	scrape
m00177	Sort letters:	vkot	kotv	vendor_b
m00178	Sort letters:	itqhklb	bhiklqt	vendor_b
m00179	Sort letters:	pioa	aiop	vendor_a
m00180	Sort letters:	wpirwse	eiprsww	vendor_a
m00181	Sort letters:	hblq	bhlq	vendor_a
m00182	Reverse:	kwdqvh	hvqdwk	vendor_b
m00183	Sort letters:	bkc	bck	vendor_a
m00184	uPPERCASE:	zpgonrvln	ZPGONRVLN	scrape
m00185	Sort letters:	zcfyqgg	cfggqyz	vendor_a
m00186	Reverse:	lakmd	dmkal	synthetic
m00187	Sort letters:	hbbxh	bbhhx	synthetic
m00188	Sort letters:	cyql	clqy	vendor_b
m00189	uPPERCASE:	kqkfehdf	KQKFEHDF	scrape
m00190	Uppercase:	djouls	DJOULS	vendor_a
m00191	Repeat:	"she said ""back quick"""	"she said ""back quick"""	vendor_a
m00192	Reverse:	ujzvmqtd	dtqmvzju	vendor_a
m00193	Sort  letters:	gac	acg	scrape
m00194	Sort letters:	inkjlgpj	gijjklnp	vendor_b
m00195	UPPERCASE:	mogmb	MOGMB	scrape
m00196	uPPERCASE:	vfnroiyl	VFNROIYL	scrape
m00197	REPEAT:	"she said ""batch señor line"""	"she said ""batch señor line"""	scrape
m00198	rEVERSE:	fnmrk	krmnf	scrape
m00199	rEVERSE:	tfus	suft	scrape
m00200	sort letters:	bwnrogh	bghnorw	scrape
m00201	Sort letters:	jflnbng	bfgjlnn	scrape
m00202	Sort letters:	qgpisun	ginpqsu	vendor_b
m00203	Count vowels:	ejgrzwxw	1	vendor_b
m00204	UPPERCASE:	tgwxjbl	TGWXJBL	scrape
m00205	Count vowels:	dqajd	1	vendor_b
m00206	Repeat:	text résumé loss	text résumé loss	vendor_a
m00207	Length:	ntzirf	6	synthetic
m00208	SORT LETTERS:	abmihsba	aabbhims	scrape
m00209	Reverse:	zpbgpc	cpgbpz	
m00210	Repeat:	reads it gradient a token über token parser	reads it gradient a token über token parser	vendor_a
m00211	Sort letters:	mpwnougs	gmnopsuw	synthetic
m00212	Sort letters:	smirjny	ijmnrsy	synthetic
m00213	Count vowels:	wohsde	2	synthetic
m00214	Sort letters:	ajef	aefj	synthetic
m00215	Reverse:	hdy	ydh	synthetic
m00216	Reverse:	nrq	qrn	vendor_b
m00217	Sort letters:	bezc	bcez	synthetic
m00218	Sort  letters:	xnr	nrx	scrape
m00219	Sort letters:	ahd	adh	vendor_b
m00220	Repeat:	"without
copy"	"without
copy"	synthetic
m00221	repeat:	"she said ""character losing señor losing the reads losing"""	"she said ""character losing señor losing the reads losing"""	scrape
m00222	Sort letters:	ofcvjo	cfjoov	vendor_b
m00223	Uppercase:	ebhkf	EBHKF	synthetic
m00224	Uppercase:	sxazbmsph	SXAZBMSPH	vendor_b

m00225	Uppercase:	szzhguh	SZZHGUH	synthetic
m00226	uPPERCASE:	pavxyd
m00227	Sort letters:	ymlh	hlmy	synthetic
m00228	Count vowels:	hsrcmh	0	synthetic
m00229	reverse:	kmnulwe	ewlunmk	scrape
m00230	Reverse:	yggpxaia	aiaxpggy	vendor_a
m00231	Reverse:	ojekmros	sormkejo	vendor_a
m00232	Sort letters:	wwkjvguu	gjkuuvww	vendor_a
m00233	Sort letters:	bjd	bdj	synthetic
m00234	Sort letters:	ybkyku	bkkuyy	vendor_b
m00235	Uppercase:	lywnxc	LYWNXC	synthetic
m00236	Length:	ldnk	4	synthetic
m00237	Repeat:	model single gradient to über a it of	model single gradient to über a it of	synthetic
m00238	Reverse:	dcf	fcd	vendor_b
m00239	lENGTH:	hekzxo	6	scrape
m00240	repeat:	text small	text small	scrape
m00241	Uppercase:	acwzwpbo	ACWZWPBO	vendor_b
m00242	Repeat:	gradient	gradient	synthetic
m00243	Reverse:	gxudch	hcduxg	vendor_a
m00244	length:	uopq	4	scrape
m00245	Uppercase:	dmqvpigd	DMQVPIGD	synthetic
m00246	lENGTH:	mok	3	scrape
m00247	Reverse:	dehprm	mrphed	vendor_b
m00248	Sort letters:	taxk	aktx	vendor_a
m00249	Count  vowels:	enyc	1	scrape
m00250	SORT LETTERS:	vkxaxbh	abhkvxx	scrape
m00251	Reverse:	bstda	adtsb	vendor_b
m00252	Uppercase:	osra	OSRA	vendor_b
m00253	Repeat:	model jalapeño	model jalapeño	synthetic
m00254	Reverse:	yrvizuh	huzivry	synthetic
m00255	sort letters:	kmzqib	bikmqz	scrape
m00256	UPPERCASE:	diiludpjm	DIILUDPJM	scrape
m00257	Count vowels:	mdqpjlt	0	synthetic
m00258	Reverse:	jgfcytq	qtycfgj	synthetic
m00259	Reverse:	jtrftkm	mktfrtj	vendor_b
m00260	lENGTH:	xilohifoffy	11	scrape
m00261	Count vowels:	qhfnq	0	synthetic
m00262	rEVERSE:	tirr	rrit	scrape
m00263	Sort  letters:	wao	aow	scrape
m00264	Length:	vhnuavnowkeb	12	vendor_b
m00265	uppercase:	ltirjx	LTIRJX	scrape
m00266	reverse:	hlc	clh	scrape
m00267	Count vowels:	ucwiql	2	synthetic
m00268	Repeat:	quick without the	quick without the	synthetic
m00269	REPEAT:	a model copy	a model copy	scrape
m00270	Sort letters:	hvttgfcp	cfghpttv	vendor_b
m00271	Repeat:	"she said ""batch señor line"""	"she said ""batch señor line"""	synthetic
m00272	Repeat:	café a señor	café a señor	vendor_b
m00273	Length:	jdwvcxarmnjh	12	vendor_a
m00274	Sort letters:	vwcgmlk	cgklmvw	synthetic
m00275	Repeat:	jalapeño quick señor	jalapeño quick señor	vendor_a
m00276	Sort letters:	wwytkck	ckktwwy	vendor_b
m00277	  Count vowels: 	tuxjqipyr	2	synthetic
m00278	Uppercase:	vwzhp	VWZHP	vendor_b
m00279	Sort letters:	hxk	hkx	vendor_a
m00280	Sort letters:	xiqvhmzj	hijmqvxz	vendor_b
m00281	sORT LETTERS:	tyb	bty	scrape
m00282	Uppercase:	wdfm	WDFM	synthetic
m00283	Length:	jsvskhlgf	9	vendor_a
m00284	Reverse:	gcfc	cfcg	vendor_b
m00285	Repeat:	über	über	vendor_a
m00286	Sort letters:	bsks	bkss	synthetic
# ---- page break ----
m00287	Reverse:	tmn	nmt	vendor_b
m00288	Count vowels:	zugpurxhel	3	synthetic
m00289	Count vowels:	uaxrzx	2	synthetic
m00290	Sort letters:	oxhptywo	hooptwxy	synthetic
m00291	rEVERSE:	hrswdx	xdwsrh	scrape
m00292	Uppercase:	xvtqwpmp	XVTQWPMP	vendor_b
m00293	Repeat:	token a text	token a text	synthetic
m00294	Sort letters:	gywjkhi	ghijkwy	vendor_a
m00295	Repeat:	"she said ""copy jalapeño"""	"she said ""copy jalapeño"""	scrape
m00296	Sort letters:	spakqk	akkpqs	vendor_a
m00297	Sort letters:	pkbokaa	aabkkop	synthetic
m00298	Sort letters:	roxclpld	cdlloprx	synthetic
m00299	Uppercase:	lzthwj	LZTHWJ	vendor_a
m00300	Reverse:	uxx	xxu	vendor_a
m00301	Reverse:	fvlby	yblvf	vendor_a
m00302	REPEAT:	line model a déjà line señor learns exactly	line model a déjà line señor learns exactly	scrape
m00303	Repeat:	naïve learns	naïve learns	vendor_a
m00304	Sort letters:	alzmc	aclmz	synthetic
m00305	Count vowels:	odwe	2	vendor_b
m00306	Repeat:	quick small to	quick small to	vendor_a
m00307	UPPERCASE:	slezdshmx	SLEZDSHMX	scrape
m00308	rEVERSE:	lkttrs	srttkl	scrape
m00309	Length:	vw	2	vendor_b
m00310	Length:	zhrihqfhtfgs	12	synthetic
m00311	Count vowels:	owycdzdm	1	synthetic
m00312	Repeat:	a and	a and	vendor_a
m00313	Repeat:	learns résumé every	learns résumé every	vendor_b
m00314	Sort letters:	qwuobyo	booquwy	scrape
m00315	Length:	oqguxuvjruu	11	vendor_b
m00316	Sort letters:	yvauwi	aiuvwy	synthetic
m00317	Count vowels:	rkazx	1	vendor_a
m00318	Uppercase:	fwjbnop	FWJBNOP	vendor_b
m00319	Sort letters:	wfesn	efnsw	synthetic
m00320	rEVERSE:	lmfa	afml	scrape
m00321	Sort letters:	nwu	nuw	vendor_a
m00322	Sort letters:	tupc	cptu	vendor_b
m00323	lENGTH:	ooahaxmo	8	scrape
m00324	Sort letters:	nngv	gnnv	vendor_a
m00325	Uppercase:	cdvltbp	CDVLTBP	synthetic
m00326	Reverse:	scx	xcs	synthetic
m00327	Repeat:	café learns character	café learns character	vendor_b
m00328	Repeat:	text	text	vendor_a
m00329	UPPERCASE:	sqwul	SQWUL	scrape
m00330	Repeat:	"señor
loss"	"señor
loss"	vendor_b
m00331	Reverse:	qykr	rkyq	synthetic
m00332	Sort letters:	jxlnd	djlnx	vendor_a
m00333	Reverse:	iapcpw	wpcpai	vendor_b
m00334	Count vowels:	hpujgph	1	synthetic
m00335	Length:	jgipq	5	vendor_a
m00336	rEVERSE:	dmzqege	egeqzmd	scrape
m00337	Sort letters:	cwhzha	achhwz	vendor_b
m00338	Uppercase:	jlelpxn	JLELPXN	vendor_a
m00339	Repeat:	café naïve a déjà a señor señor parser every	café naïve a déjà a señor señor parser every	vendor_b
m00340	Reverse:	ayjd	djya	vendor_a
m00341	sORT LETTERS:	nyl	lny	scrape
m00342	uppercase:	lrhtsg	LRHTSG	scrape
m00343	Sort letters:	tbddn	bddnt	vendor_a
m00344	Sort letters:	ofb	bfo	vendor_b
m00345	Uppercase:	heidzsoh	HEIDZSOH	synthetic
m00346	Count vowels:	avpkhjiwk	2	vendor_a
m00347	Length:	xogeefvtzjz	11	scrape
m00348	Sort letters:	frrzz	frrzz	synthetic
m00349	Sort letters:	dcrclk	ccdklr	synthetic
m00350	Uppercase:	xdl	XDL	vendor_a
m00351	Reverse:	stmko	okmts	synthetic
m00352	count vowels:	uzvgyvtg	1	scrape
m00353	rEVERSE:	mjrrf	frrjm	scrape
m00354	Count vowels:	psxqd	0	vendor_a
m00355	repeat:	it small without	it small without	scrape
m00356	Repeat:	jalapeño the and character a text learns	jalapeño the and character a text learns	synthetic
m00357	Uppercase:	qkopqm	QKOPQM	vendor_a
m00358	Reverse:	ndyhadkx	xkdahydn	vendor_a
m00359	Sort letters:	lqo	loq	vendor_a
m00360	Reverse:	maf	fam	synthetic
m00361	Repeat:	the line	the line	synthetic
m00362	Repeat:	naïve a	naïve a	vendor_b
m00363	Count vowels:	utuzrmqd	2	vendor_b
m00364	Uppercase:	drx	DRX	synthetic
m00365	Reverse:	uktae	eatku	vendor_a
m00366	Sort  letters:	fshtpgi	fghipst	scrape
m00367	Repeat:	batch quick single	batch quick single	synthetic
m00368	Repeat:	exactly déjà	exactly déjà	vendor_b
m00369	REVERSE:	xqkig	gikqx	scrape
m00370	Reverse:	lip	pil	vendor_a
m00371	Count vowels:	bpmqn	0	vendor_a
m00372	Count vowels:	onqhoeggw	3	vendor_a
m00373	REVERSE:	xktq	qtkx	scrape
m00374	Sort letters:	vep	epv	synthetic
m00375	Repeat:	line reads and	line reads and	vendor_a
m00376	Reverse:	dlsww	wwsld	vendor_a
m00377	  Repeat: 	"a
of"	"a
of"	vendor_b
m00378	Sort letters:	hcbxn	bchnx	vendor_b
m00379	Sort letters:	ljah	ahjl	vendor_b

m00380	Reverse:	axxhfp	pfhxxa	vendor_a
m00381	Sort letters:	khhkuikk	hhikkkku	synthetic
m00382	Repeat:	character batch über text quick señor text	character batch über text quick señor text	synthetic
m00383	uPPERCASE:	jbya	JBYA	scrape
m00384	rEPEAT:	café copy losing jalapeño déjà learns to a	café copy losing jalapeño déjà learns to a	scrape
m00385	Count vowels:	bqhteiq	2	vendor_b
m00386	sort letters:	ezgbz	begzz	scrape
m00387	Uppercase:	xuofys	XUOFYS	vendor_a
m00388	UPPERCASE:	lmxj	LMXJ	scrape

m00389	REPEAT:	"she said ""text"""	"she said ""text"""	scrape
m00390	Reverse:	ewlymed	demylwe	vendor_b
m00391	Count vowels:	nkea	2	vendor_b
m00392	lENGTH:	ab	2	scrape
m00393	  Sort letters: 	lzjvd	djlvz	vendor_b
m00394	Count vowels:	sxwvkmh	0	vendor_b
m00395	Uppercase:	gkpvsep	GKPVSEP	synthetic
m00396	Length:	vl	2	vendor_b
m00397	length:	hdnlqmurs	9	scrape
m00398	lENGTH:	ssvjqxa	7	scrape
m00399	Sort letters:	fqywdgpr	dfgpqrwy	synthetic
m00400	Length:	qvb	3	vendor_b
m00401	Reverse:	uwervz	zvrewu	scrape
m00402	Sort letters:	wrdvff	dffrvw	vendor_a
m00403	Reverse:	gof	fog	synthetic
m00404	reverse:	zzp	pzz	scrape
m00405	Repeat:	of line back	of line back	vendor_a
m00406	uPPERCASE:	ylzr	YLZR	scrape
m00407	Uppercase:	kclnulsks	KCLNULSKS	vendor_b
m00408	Repeat:	exactly quick exactly	exactly quick exactly	vendor_b
m00409	Uppercase:	eptsk	EPTSK	vendor_b
m00410	cOUNT VOWELS:	gazmdulbl	2	scrape
m00411	Reverse:	hpzsb	bszph	vendor_a
m00412	Sort letters:	fdiz	dfiz	synthetic
m00413	uPPERCASE:	wyd	WYD	scrape
m00414	Sort letters:	vqt	qtv	vendor_a
m00415	Reverse:	ctlx	xltc	vendor_b
m00416	Uppercase:	rotbbenm	ROTBBENM	vendor_b
m00417	Uppercase:	kpuw	KPUW	vendor_a
m00418	Length:	ovri	4	vendor_a
m00419	SORT LETTERS:	cbua	abcu	scrape
m00420	SORT LETTERS:	epjmf	efjmp	scrape
m00421	Count vowels:	sjbkfi		vendor_a
m00422	  REVERSE: 	eam	mae	scrape
m00423	Reverse:	czpplmj	jmlppzc	scrape
m00424	Repeat:	"she said ""café"""	"she said ""café"""	vendor_b
m00425	Sort letters:	dfrtql	dflqrt	vendor_b
m00426	Sort letters:	burr	brru	synthetic
m00427	reverse:	djznrfsb	bsfrnzjd	scrape
m00428	lENGTH:	ipubo	5	scrape
m00429	Repeat:	jalapeño copy small	jalapeño copy small	synthetic
m00430	Count  vowels:	nkea	2	scrape
m00431	COUNT VOWELS:	ybyujuy	2	scrape
m00432	uPPERCASE:	sklhk	SKLHK	scrape
m00433	Reverse:	fnpoy	yopnf	vendor_b
m00434	Sort letters:	eyoahwo	aehoowy	vendor_a
m00435	Reverse:	rof	for	vendor_b
m00436	rEVERSE:	oqmti	itmqo	scrape
m00437	Reverse:	joikuhp	phukioj	vendor_b
m00438	Uppercase:	rmifpxkg	RMIFPXKG	synthetic
m00439	Length:	ixzmr	5	vendor_a
m00440	Length:	fdiwgs	6	vendor_b
m00441	Count vowels:	uddvy	1	synthetic
m00442	count vowels:	mjeuwwmti	3	scrape
m00443	Sort letters:	dvkd	ddkv	vendor_a
m00444	REVERSE:	eriwv	vwire	scrape
m00445	Uppercase:	nbjp	NBJP	synthetic
m00446	uPPERCASE:	ksfxqvmtp	KSFXQVMTP	scrape
m00447	Sort  letters:	vlwhgbr	bghlrvw	scrape

m00448	Reverse:	sqftfv	vftfqs	synthetic
m00449	Count vowels:	wgjvmlzqv	0	synthetic
m00450	Sort  letters:	hbmnw	bhmnw	scrape
m00451	Length:	bu	2	synthetic
m00452	Uppercase:	judioyabr	JUDIOYABR	vendor_a
m00453	Reverse:	dzfydk	kdyfzd	vendor_b
m00454	Repeat:	exactly model line	exactly model line	synthetic
m00455	Reverse:	hbcjaie	eiajcbh	synthetic
m00456	Uppercase:	pwducjk	PWDUCJK	vendor_a
m00457	Reverse:	hvawir	riwavh	vendor_a
m00458	REVERSE:	kuuvi	ivuuk	scrape
m00459	Count vowels:	jkkni	1	vendor_a
m00460	Uppercase:	mpejyuhvg	MPEJYUHVG	vendor_b
m00461	Reverse:	ndnzqf	fqzndn	vendor_b
m00462	Uppercase:	hcplqx	HCPLQX	vendor_b
m00463	Sort letters:	ciaia	aacii	synthetic
m00464	Repeat:	exactly über gradient	exactly über gradient	synthetic

m00465	sORT LETTERS:	ewkzlda	adeklwz	scrape
m00466	Uppercase:	eqiisvi	EQIISVI	vendor_b
m00467	Sort letters:	ekofug	efgkou	scrape
m00468	sORT LETTERS:	pznf	fnpz	scrape
m00469	Reverse:	mjrrf	frrjm	vendor_a
m00470	Sort letters:	mgazjxqc	acgjmqxz	vendor_b
m00471	Uppercase:	xax
m00472	Uppercase:	nbvcyr
m00473	Sort letters:	dasnv	adnsv	synthetic
m00474	Length:	qwdaqwbuhjfp	12	vendor_a
m00475	Uppercase:	elyppckzk	ELYPPCKZK	vendor_b
m00476	COUNT VOWELS:	himfacg	2	scrape
m00477	Reverse:	nnnkqpy
m00478	sort letters:	jkdvocv	cdjkovv	scrape
m00479	Count vowels:	nlku	1	vendor_b
m00480	Sort letters:	ctqnxz	cnqtxz	vendor_b
m00481	Sort letters:	ewi	eiw	vendor_a
m00482	Count vowels:	wgqc
m00483	Reverse:	bdv	vdb	vendor_a
m00484	Reverse:	kyc	cyk	synthetic
m00485	Sort letters:	zhygvm	ghmvyz	vendor_a
m00486	Sort letters:	jdst	djst	vendor_b
m00487	SORT LETTERS:	zebay	abeyz	scrape
m00488	REPEAT:	naïve loss	naïve loss	scrape
m00489	rEVERSE:	pfwnqekc	ckeqnwfp	scrape
m00490	Sort letters:	hgvdct	cdghtv	synthetic
m00491	sort letters:	phd	dhp	scrape
m00492	Sort letters:	uqcfuxye	cefquuxy	vendor_b
m00493	Reverse:	qssdr	rdssq	vendor_b
m00494	Sort letters:	pqlmy	lmpqy	vendor_b
m00495	Uppercase:	wchm	WCHM	synthetic
m00496	Repeat:	"résumé	small jalapeño it déjà of parser"	"résumé	small jalapeño it déjà of parser"	vendor_b
m00497	Uppercase:	siyabf	SIYABF	synthetic
m00498	uppercase:	bfyzootlo	BFYZOOTLO	scrape
m00499	Repeat:	of copy	of copy	vendor_b
m00500	Repeat:	without data	without data	vendor_a
m00501	Reverse:	cexqile	eliqxec	vendor_a
m00502	Repeat:	to it	to it	vendor_a
m00503	Sort letters:	kyrbjkd	bdjkkry	vendor_b
m00504	sort letters:	adwio	adiow	scrape
m00505	cOUNT VOWELS:	gcqajc	1	scrape
m00506	Sort letters:	dbxyaeku	abdekuxy	vendor_b
m00507	Repeat:	learns jalapeño	learns jalapeño	vendor_b
m00508	reverse:	dkmh	hmkd	scrape
m00509	Repeat:	of	of	synthetic
m00510	Reverse:	nyms	smyn	vendor_a
